BARCODE,BRAND_CODE,CATEGORY,CATEGORY_CODE,NAME
511111013075,PROGRESSO,Grocery,GROCERY,Progresso
511111707202,HUNGRY MAN,Frozen,FROZEN,Hungry-Man®
511111303015,DASANI,Beverages,BEVERAGES,DASANI
511111300656,VASELINE,Personal Care,PERSONAL_CARE,Vaseline
511111205500,SIERRA MIST,Beverages,BEVERAGES,Sierra Mist
511111606581,MOVO,Wine,WINE,MOVO Wine Spritzers
511111913733,SIMPLY SPIKED,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Simply Spiked
511111006817,SCOOP AWAY,Pet,PET,Scoop Away
511111709916,RED GOLD,Grocery,GROCERY,Red Gold 
511111001119,DORITOS,Snacks,SNACKS,Doritos
511111207580,BIMBO,Bread & Bakery,BREAD_AND_BAKERY,Bimbo Bread and Sweet Baked Goods
511111802358,CRACKER BARREL,Dairy,DAIRY,Cracker Barrel
511111914495,NEUTROGENA,Personal Care,PERSONAL_CARE,Neutrogena
511111304265,MOMOFUKU,Condiments & Sauces,CONDIMENTS_AND_SAUCES,MOMOFUKU Sauce
511111615095,BUSH'S,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Bush's
511111808091,GAMESA,Snacks,SNACKS,Gamesa
511111311065,PANERA BREAD,Restaurants,RESTAURANTS,Panera Bread
511111911302,BLUE BUFFALO,Pet,PET,Blue Buffalo
511111906841,HIDDEN VALLEY,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Hidden Valley Original Ranch
511111202004,LUNCHABLES,Deli,DELI,Lunchables
511111403845,BLUE MOON,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Blue Moon
511111109235,CADBURY,Candy & Sweets,CANDY_AND_SWEETS,Cadbury
511111908043,SABRITAS,Snacks,SNACKS,Sabritas
511111411680,VITAL PROTEINS,Health & Wellness,HEALTHY_AND_WELLNESS,Vital Proteins 
511111900771,LEVER 2000,Personal Care,PERSONAL_CARE,LEVER 2000
511111405467,OCEAN SPRAY,Beverages,BEVERAGES,Ocean Spray Juices
